Name,Symbol,Exchange
EIH Assoc.Hotels,EIHAHOTELS,NSE
Shriram Pistons,SHRIPISTON,NSE
Schaeffler India,SCHAEFFLER,NSE
Pratham EPC,PRATHAM,NSE
Innovana Think.,INNOVANA,NSE
Upsurge Invest.,531390,BSE
Shivalik Bimetal,SBCL,NSE
Vdeal System,VDEAL,NSE
KPT Industries,505299,BSE
DC Infotech,DCI,NSE
Lakshya Powertec,LAKSHYA,NSE
Sudal Industries,506003,BSE
Vesuvius India,VESUVIUS,NSE
Brady & Morris,505690,BSE
Naturewings Hol.,544245,BSE
Petronet LNG,PETRONET,NSE
Voler Car,VOLERCAR,NSE
Arunaya Organics,ARUNAYA,NSE
Geekay Wires,GEEKAYWIRE,NSE
GP Eco Solutions,GPECO,NSE
Bhansali Engg.,BEPL,NSE
Havells India,HAVELLS,NSE
Agarwal Fortune,530765,BSE
Heritage Foods,HERITGFOOD,NSE
Deepak Builders,DBEIL,NSE
Mahendra Realtor,MRIL,NSE
Vedanta,VEDL,NSE
Prevest Denpro,543363,BSE
Vimta Labs,VIMTALABS,NSE
Ganesh Green,GGBL,NSE
Swastika Castal,544452,BSE
Astron,544628,BSE
Denta Water,DENTA,NSE
Hind.Construct.,HCC,NSE
Sumitomo Chemi.,SUMICHEM,NSE
Exato Technologies,544626,BSE
Addictive Learn,ADDICTIVE,NSE
Vadilal Inds.,VADILALIND,NSE
DMR Engineering,543410,BSE
Systematix Corp.,SYSTMTXC,NSE
Magna Electrocas,517449,BSE
Engineers India,ENGINERSIN,NSE
Promact Plastics,526494,BSE
Dharni Capital,543753,BSE
Forbes Precision,544186,BSE
Jash Engineering,JASH,NSE
Venus Pipes,VENUSPIPES,NSE
Alivus Life,ALIVUS,NSE
Berger Paints,BERGEPAINT,NSE
Guj Pipavav Port,GPPL,NSE
Epigral,EPIGRAL,NSE
ICICI Lombard,ICICIGI,NSE
Anlon Healthcare,AHCL,NSE
Interarch Build.,INTERARCH,NSE
Bayer Crop Sci.,BAYERCROP,NSE
Indegene,INDGN,NSE
Rapid Fleet,RAPIDFLEET,NSE
Thyrocare Tech.,THYROCARE,NSE
Freshara Agro,FRESHARA,NSE
Garware Tech.,GARFIBRES,NSE
Knowledge Marine,KMEW,NSE
Valplast Technol,544565,BSE
Nitta Gelatin,506532,BSE
Goldiam Intl.,GOLDIAM,NSE
Artson,522134,BSE
Sugal & Damani,511654,BSE
CARE Ratings,CARERATING,NSE
Shrydus Indust.,511493,BSE
Essex Marine,544475,BSE
DSM Fresh,544568,BSE
Jay Ambe Super.,544514,BSE
Vidya Wires,VIDYAWIRES,NSE
Shelter Pharma,543963,BSE
